ssc_p,hsc_p,degree_p,mba_p,workex,etest_p,status
67.0,71.0,64.33,61.26,1,64.0,1
84.0,73.0,73.0,73.33,0,75.0,1
79.0,61.0,75.5,68.2,1,70.0,1
72.0,60.0,69.0,58.4,0,55.5,1
80.4,73.4,77.72,76.26,1,81.2,1
76.7,89.7,66.0,68.55,1,90.0,1
62.0,65.0,60.0,64.15,0,84.0,0
74.9,57.0,62.0,60.78,1,80.0,1
67.0,68.0,64.0,53.49,1,74.4,1
73.0,64.0,77.0,60.98,1,65.0,1
77.44,92.0,72.0,67.13,1,94.0,1
72.0,56.0,69.0,65.63,0,55.6,1
47.0,59.0,64.0,61.58,0,78.0,0
67.0,63.0,72.0,60.41,0,56.0,1
82.0,64.0,73.0,71.77,1,96.0,1
77.0,70.0,59.0,54.43,1,58.0,1
65.0,64.8,69.5,56.94,1,56.0,1
66.0,64.0,60.0,61.9,0,60.0,0
85.0,60.0,73.43,61.29,1,60.0,1
77.67,64.89,70.67,60.39,0,89.0,1
52.0,50.0,61.0,58.52,0,60.0,0
89.4,65.66,71.25,63.23,0,72.0,1
62.0,63.0,66.0,55.14,0,85.0,1
70.0,74.0,65.0,62.28,0,83.0,1
77.0,86.0,56.0,64.08,0,57.0,1
44.0,58.0,55.0,58.54,1,64.25,0
71.0,58.66,58.0,61.3,1,56.0,1
65.0,65.0,75.0,58.87,0,83.0,1
75.4,60.5,84.0,65.25,0,98.0,1
49.0,59.0,65.0,62.48,1,86.0,1
53.0,63.0,60.0,53.2,1,70.0,1
51.57,74.66,59.9,65.99,1,56.15,0
84.2,69.4,65.0,52.72,1,80.0,1
66.5,62.5,60.9,55.03,0,93.4,1
67.0,63.0,64.0,61.87,0,60.0,0
52.0,49.0,58.0,60.59,0,62.0,0
87.0,74.0,65.0,72.29,1,75.0,1
55.6,51.0,57.5,62.72,0,57.63,0
74.2,87.6,77.25,66.06,1,75.2,1
63.0,67.0,64.0,66.46,0,75.0,1
67.16,72.5,63.35,65.52,0,53.04,1
63.3,78.33,74.0,74.56,0,80.0,0
62.0,62.0,60.0,52.38,1,63.0,1
67.9,62.0,67.0,75.71,1,58.1,0
48.0,51.0,58.0,58.79,1,60.0,0
59.96,42.16,61.26,65.48,0,54.48,0
63.4,67.2,60.0,69.28,0,58.06,0
80.0,80.0,72.0,66.04,1,63.79,1
73.0,58.0,56.0,52.64,0,84.0,1
52.0,52.0,55.0,59.32,0,67.0,0
73.24,50.83,64.27,66.23,1,64.0,1
63.0,62.0,65.0,60.69,0,87.5,0
59.0,60.0,56.0,57.9,0,55.0,1
73.0,97.0,79.0,70.81,1,89.0,1
68.0,56.0,68.0,68.07,0,73.0,1
77.8,64.0,64.2,72.14,0,75.5,0
65.0,71.5,62.8,56.6,1,57.0,1
62.0,60.33,64.21,60.02,0,63.0,0
52.0,65.0,57.0,59.81,1,75.0,0
65.0,77.0,69.0,61.82,0,60.0,1
56.28,62.83,59.79,57.29,0,60.0,0
88.0,72.0,78.0,71.43,0,82.0,1
52.0,64.0,61.0,62.93,0,55.0,0
78.5,65.5,67.0,64.86,1,95.0,1
61.8,47.0,54.38,56.13,0,57.0,0
54.0,77.6,69.2,66.94,0,95.65,0
64.0,70.2,61.0,62.5,0,50.0,0
67.0,61.0,72.0,61.01,0,72.0,1
65.2,61.4,64.8,57.34,1,93.4,1
60.0,63.0,56.0,56.63,1,80.0,1
52.0,55.0,56.3,64.74,0,59.0,0
66.0,76.0,72.0,58.95,1,84.0,1
72.0,63.0,77.5,54.48,1,78.0,1
83.96,53.0,91.0,69.71,0,59.32,1
67.0,70.0,65.0,71.96,0,88.0,0
69.0,65.0,57.0,55.8,0,73.0,1
69.0,60.0,65.0,52.81,0,87.55,1
54.2,63.0,58.0,58.44,0,79.0,0
70.0,63.0,66.0,60.11,0,61.28,1
55.68,61.33,56.87,58.3,0,66.0,1
74.0,73.0,73.0,67.69,1,80.0,1
61.0,62.0,65.0,56.81,0,62.0,1
41.0,42.0,60.0,53.39,0,97.0,0
83.33,78.0,61.0,71.55,1,88.56,1
43.0,60.0,65.0,62.92,0,92.66,0
62.0,72.0,65.0,56.49,0,67.0,1
80.6,82.0,77.6,74.49,0,91.0,1
58.0,60.0,72.0,53.62,0,74.0,1
67.0,67.0,73.0,69.72,1,59.0,1
74.0,66.0,58.0,60.23,0,70.0,1
62.0,58.0,53.0,60.22,0,89.0,0
